fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
28670,16,8,3.2,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,6,512,Var,Lenovo
12829,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2,256,Var,Lenovo
13299,15.6,4,2.4,SSD,DDR4,Paylasimli,Var,Freedos,1920 x 1080,8,2,256,Var,Lenovo
22582,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2,1024,Var,Lenovo
12399,15.6,4,1,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,Lenovo
17989,15.6,6,2.1,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,8,4,256,Var,Acer
28899,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,Asus
25799,17.3,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,500,Var,Monster
25399,16.1,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,HP
17658,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,250,Var,Casper
17189,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,4,256,Var,Dell
19928,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,Dell
38334,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,64,6,512,Var,Dell
20457,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4,1024,Var,Casper
18399,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2,256,Var,Lenovo
18141,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,250,Var,Casper
19299,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,500,Var,Casper
16829,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2,1024,Var,Lenovo
40999,15.6,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,8,1024,Var,Asus
17755,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,512,Var,Acer
13881,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,HP
13699,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,256,Var,Lenovo
18749,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1280,Var,Asus
16599,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2,256,Var,Lenovo
68699,17.3,14,3.8,SSD,DDR5,Paylasimsiz,Yok,Freedos,2560 x 1440,32,16,1024,Var,HP
20405,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,1536,Var,Asus
23489,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Yok,Asus
16850,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,2,512,Var,Dell
21711,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,500,Var,Monster
22699,16.1,8,3.2,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,HP
27687,17.3,10,3.5,HDD-SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,2,2560,Var,HP
72374,17.3,8,3.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,6,1024,Var,Monster
22639,17.3,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Var,Monster
18720,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1024,Var,Casper
22999,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Acer
40855,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Windows,1920 x 1080,64,6,1024,Var,Dell
18185,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,512,Var,Dell
27437,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,64,2,1024,Var,HP
18570,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,512,Var,Dell
21999,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2,1536,Var,Lenovo
22104,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,1024,Var,Dell
26953,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,2,2048,Var,HP
18191,14,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,512,Var,Dell
19999,15.6,4,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Lenovo
17299,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Var,Casper
22449,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Var,Monster
18380,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,1024,Var,Acer
34128,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Linux,1920 x 1080,16,6,1024,Var,Dell
16736,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,256,Var,Lenovo
15999,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2,512,Var,Lenovo
16307,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,250,Var,Casper
19774,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,500,Var,Casper
20999,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Lenovo
24993,15.6,4,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,512,Var,HP
40418,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,2560 x 1440,64,6,1024,Var,Lenovo
22194,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,512,Var,Lenovo
9953,15.6,2,1.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,4,2,128,Var,HP
17890,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,512,Var,Lenovo
25997,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6,512,Var,Lenovo
26016,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,2048,Var,HP
23641,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4,1024,Var,Casper
25262,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1024,Yok,Asus
19007,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1024,Var,Casper
19847,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,1024,Var,Dell
21393,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,512,Var,HP
18140,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2,500,Var,Lenovo
13673,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,HP
20264,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Var,Monster
37538,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,2560 x 1440,32,6,1024,Var,Lenovo
17997,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4,512,Var,Lenovo
18850,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2,512,Var,HP
33133,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,6,512,Var,Dell
21615,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,500,Var,Monster
24992,17.3,10,3.5,HDD-SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2,2560,Var,HP
20776,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2,512,Var,Lenovo
19321,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,1024,Var,Lenovo
20939,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,4,1024,Var,Casper
27034,15.6,8,3.2,SSD,other_ram,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Asus
22242,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1536,Var,HP
22172,15.6,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,1024,Var,HP
14290,15.6,4,2.4,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2,1280,Var,Lenovo
23521,15.6,8,3.2,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1280,Var,Lenovo
17948,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,500,Var,Casper
17489,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2,1280,Var,Dell
13557,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2,512,Var,HP
13786,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2,512,Var,Lenovo
14199,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,HP
17800,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,500,Yok,Casper
11455,15.6,4,1.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,240,Var,Casper
18816,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Var,Casper
18200,15.6,4,2.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,500,Yok,Casper
24991,15.6,4,3.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,512,Var,Lenovo
17755,15.6,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4,256,Var,Dell
17639,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,40,2,512,Var,Lenovo
24234,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2,1024,Var,Lenovo
26926,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4,1024,Var,Asus
31500,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,4,2048,Var,Asus
17080,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2,512,Var,Lenovo
20669,15.6,6,3.3,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4,1280,Var,Lenovo
26100,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2,256,Var,Lenovo
27973,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,2048,Var,Lenovo
43499,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,8,1024,Yok,Dell
25684,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,512,Var,Lenovo
22098,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2,256,Var,Lenovo
37849,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Windows,1920 x 1080,16,6,1024,Var,Dell
24535,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,256,Var,Lenovo
24790,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,256,Var,Lenovo
23479,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4,256,Var,Lenovo
33220,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,20,4,512,Var,Lenovo
16401,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,500,Var,Acer
55940,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,36,4,1024,Var,Lenovo
26515,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,512,Var,Lenovo
41704,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,20,6,500,Var,Lenovo
63149,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,20,4,512,Var,Lenovo
25797,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2,500,Var,Lenovo
47276,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4,512,Var,Lenovo
28784,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,2048,Var,Lenovo
19126,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2,256,Var,Lenovo
27941,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2,1536,Var,Lenovo
