,fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
258,18720,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Casper
265,22999,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Acer
272,40855,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Windows,1920 x 1080,64,6.0,1024,Var,Dell
274,18185,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Dell
276,27437,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,64,2.0,1024,Var,HP
279,18570,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Dell
283,21999,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2.0,1536,Var,Lenovo
285,22104,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,1024,Var,Dell
291,26953,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,2.0,2048,Var,HP
294,18191,14,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Dell
300,19999,15.6,4,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Lenovo
301,17299,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Var,Casper
302,22449,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Var,Monster
303,42124,17.3,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,32,8.0,1024,Var,Game Garaj
306,18380,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,1024,Var,Acer
307,34128,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Linux,1920 x 1080,16,6.0,1024,Var,Dell
308,16736,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,256,Var,Lenovo
309,15999,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2.0,512,Var,Lenovo
312,16307,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,250,Var,Casper
313,19774,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,500,Var,Casper
314,20999,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Lenovo
322,24993,15.6,4,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,512,Var,HP
328,40418,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,2560 x 1440,64,6.0,1024,Var,Lenovo
336,22194,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,512,Var,Lenovo
338,9953,15.6,2,1.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,4,2.0,128,Var,HP
340,17890,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Lenovo
341,25997,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,6.0,512,Var,Lenovo
345,26016,17.3,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,2048,Var,HP
353,36862,15.6,14,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,8.0,512,Yok,Gigabyte
363,23641,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,1024,Var,Casper
367,25262,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1024,Yok,Asus
388,19007,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Casper
391,19847,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,1024,Var,Dell
392,21393,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,512,Var,HP
399,18140,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2.0,500,Var,Lenovo
401,13673,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,HP
410,20264,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Var,Monster
421,37538,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,2560 x 1440,32,6.0,1024,Var,Lenovo
423,17997,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Lenovo
425,18850,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,HP
433,33133,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,6.0,512,Var,Dell
439,21615,15.6,12,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,500,Var,Monster
440,24992,17.3,10,3.5,HDD-SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,2560,Var,HP
441,20776,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,512,Var,Lenovo
443,19321,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,1024,Var,Lenovo
449,20939,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,4.0,1024,Var,Casper
450,27034,15.6,8,3.2,SSD,other_ram,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Asus
452,22242,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1536,Var,HP
453,22172,15.6,10,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,1024,Var,HP
455,14290,15.6,4,2.4,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2.0,1280,Var,Lenovo
458,23521,15.6,8,3.2,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1280,Var,Lenovo
459,17948,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,500,Var,Casper
475,17489,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2.0,1280,Var,Dell
476,13557,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,512,Var,HP
486,13786,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,12,2.0,512,Var,Lenovo
487,14199,15.6,10,3.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,HP
490,17800,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,500,Yok,Casper
493,11455,15.6,4,1.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,240,Var,Casper
498,18816,15.6,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Var,Casper
514,18200,15.6,4,2.6,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,500,Yok,Casper
518,24991,15.6,4,3.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,512,Var,Lenovo
531,17755,15.6,6,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,256,Var,Dell
533,17639,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,40,2.0,512,Var,Lenovo
534,24234,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2.0,1024,Var,Lenovo
535,26926,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1024,Var,Asus
536,31500,15.6,8,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,64,4.0,2048,Var,Asus
538,17080,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,512,Var,Lenovo
539,20669,15.6,6,3.3,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,1280,Var,Lenovo
543,26100,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,256,Var,Lenovo
545,27973,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,2048,Var,Lenovo
549,43499,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,8.0,1024,Yok,Dell
553,25684,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,512,Var,Lenovo
557,22098,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,256,Var,Lenovo
559,37849,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Windows,1920 x 1080,16,6.0,1024,Var,Dell
560,24535,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,256,Var,Lenovo
562,24790,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,256,Var,Lenovo
563,23479,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,256,Var,Lenovo
568,33220,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,20,4.0,512,Var,Lenovo
572,16401,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,500,Var,Acer
573,55940,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,36,4.0,1024,Var,Lenovo
575,26515,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,512,Var,Lenovo
582,41704,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,20,6.0,500,Var,Lenovo
583,63149,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,20,4.0,512,Var,Lenovo
587,25797,14,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,500,Var,Lenovo
588,47276,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4.0,512,Var,Lenovo
590,28784,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,2048,Var,Lenovo
591,19126,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2.0,256,Var,Lenovo
594,27941,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,1536,Var,Lenovo
596,42074,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,24,4.0,1024,Var,Lenovo
599,54558,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,4.0,1024,Var,Lenovo
600,47146,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,512,Var,Lenovo
602,41195,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,4.0,256,Var,Lenovo
605,42163,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Freedos,2560 x 1440,20,6.0,2048,Var,Lenovo
607,22657,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,4.0,256,Var,Lenovo
608,13779,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,2.0,1024,Var,HP
610,16746,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2.0,256,Var,Dell
614,22572,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,3072,Var,Asus
615,26394,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,3072,Var,Asus
616,18547,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,256,Var,Dell
618,19466,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,2560,Var,Dell
619,17317,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,8,2.0,1536,Var,Dell
622,34926,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,1024,Var,Lenovo
624,31236,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,2048,Var,Lenovo
629,44253,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,32,6.0,2048,Var,Lenovo
630,28042,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,1280,Var,Lenovo
633,44084,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,48,6.0,1024,Var,Lenovo
638,27148,15.6,8,3.2,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,1536,Var,Lenovo
640,30605,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,1280,Var,Lenovo
642,50802,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,2048,Var,Lenovo
644,27505,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,2048,Var,Lenovo
648,56758,15.6,8,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,36,4.0,2048,Var,Lenovo
652,51064,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,40,4.0,2048,Var,Lenovo
657,28701,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,1280,Var,Lenovo
664,20570,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,1024,Var,Dell
665,18193,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,256,Var,Dell
667,18689,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2.0,2304,Var,Dell
669,22062,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,2048,Var,Asus
670,19874,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,32,2.0,1536,Var,Dell
672,25101,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,64,2.0,2048,Var,Dell
674,22826,15.6,4,2.5,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,4.0,2560,Var,Asus
675,19243,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Dell
676,27320,17.3,10,3.5,HDD-SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,2.0,2560,Var,HP
678,20532,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,32,2.0,2560,Var,Dell
689,22387,15.6,6,2.7,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,512,Var,Acer
692,22611,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,512,Var,Dell
693,101131,15.6,8,2.6,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,8.0,512,Var,Lenovo
695,21348,14,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,64,2.0,1536,Var,Acer
696,39226,16,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,random_cznrlk,32,6.0,2048,Yok,Lenovo
697,104913,17.3,8,2.1,SSD,DDR4,Paylasimsiz,Var,Windows,random_cznrlk,128,6.0,1024,Var,HP
698,17206,15.6,4,2.4,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2.0,1536,Var,Dell
703,44380,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,24,4.0,2048,Var,Lenovo
710,25120,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,64,4.0,512,Var,Asus
715,25148,15.6,8,3.2,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,4.0,512,Var,Lenovo
720,24269,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,32,2.0,256,Var,Lenovo
722,42546,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,16,6.0,1536,Var,Lenovo
723,42424,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,16,6.0,2048,Var,Lenovo
725,23586,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,2.0,1024,Var,Lenovo
729,40599,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,4.0,512,Var,Lenovo
730,54015,15.6,8,3.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,40,4.0,1024,Var,Lenovo
731,24984,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,1024,Var,Lenovo
732,25052,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,1280,Var,Lenovo
734,40835,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,24,4.0,512,Var,Lenovo
737,24302,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,256,Var,Lenovo
