,fiyat,ekran_boyutu,islemci_cekirdek_sayisi,islemci_hizi,disk_tipi,ram_tipi,gpu_model,parmak_izi_okuyucu,isletim_sistemi,ekran_cozunurluk,ram_miktari,gpu_miktari,disk_kapasitesi,hdmi,marka
872,21619,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,1536,Var,Lenovo
875,43222,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,4.0,256,Var,Lenovo
876,17167,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,250,Var,Lenovo
877,63275,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,4.0,1024,Var,Lenovo
878,39005,15.6,14,3.5,SSD,DDR5,Paylasimsiz,Yok,Freedos,1920 x 1080,64,6.0,1024,Var,Dell
881,94998,17.3,14,3.5,HDD,DDR5,Paylasimsiz,Yok,Windows,1920 x 1080,32,16.0,1024,Yok,Msi
882,22321,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,1280,Var,Lenovo
886,45461,15.6,6,2.9,SSD,DDR4,Paylasimsiz,Yok,Windows,2560 x 1440,24,6.0,2048,Var,Lenovo
887,25639,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,16,2.0,512,Var,Lenovo
889,19999,13.3,4,1.1,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,8,4.0,512,Var,Asus
892,20961,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2.0,1024,Var,Lenovo
893,20961,17.3,4,1.3,HDD-SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,2.0,1280,Var,Lenovo
895,40966,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,20,4.0,1024,Var,Lenovo
896,23489,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,256,Var,Lenovo
897,19962,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,12,2.0,512,Var,Lenovo
905,62772,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,4.0,500,Var,Lenovo
907,14499,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,16,2.0,1024,Var,Lenovo
908,22230,15.6,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,2.0,1024,Var,Lenovo
911,17847,14,4,2.4,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,250,Var,Lenovo
914,31603,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,32,2.0,512,Var,Lenovo
917,27141,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,8,2.0,256,Var,Lenovo
923,23497,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2.0,1280,Var,Lenovo
924,47799,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4.0,1024,Var,Lenovo
925,49627,15.6,8,2.3,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,20,4.0,2048,Var,Lenovo
926,66038,17.3,8,2.3,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,64,4.0,512,Var,Lenovo
929,22640,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,4.0,256,Var,Lenovo
936,38753,16,8,3.3,SSD,DDR4,Paylasimsiz,Yok,Windows,random_cznrlk,48,6.0,1280,Yok,Lenovo
937,21055,15.6,4,2.5,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,32,4.0,1536,Var,Asus
938,26140,14,10,1.0,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,512,Var,Lenovo
941,19540,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2.0,256,Var,Lenovo
942,12833,15.6,4,1.0,SSD,DDR4,Paylasimsiz,Yok,Windows,1366 x 768,4,2.0,256,Var,Asus
943,33590,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Freedos,1920 x 1080,16,2.0,1024,Var,Lenovo
945,43713,15.6,6,2.6,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,32,3.0,1536,Var,Lenovo
946,20061,17.3,4,1.3,SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2.0,512,Var,Lenovo
948,17417,14,4,1.0,HDD-SSD,DDR4,Paylasimsiz,Yok,Freedos,1920 x 1080,36,2.0,1280,Var,Lenovo
957,17956,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,512,Var,Dell
958,19940,15.6,4,2.8,HDD-SSD,DDR4,Paylasimsiz,Yok,Linux,1920 x 1080,16,2.0,3072,Var,Dell
962,17838,15.6,4,2.8,SSD,DDR4,Paylasimsiz,Yok,Windows,1920 x 1080,8,2.0,256,Var,Dell
972,42170,16,8,3.2,SSD,other_ram,Paylasimsiz,Var,Windows,random_cznrlk,16,6.0,512,Var,Lenovo
981,26647,14,4,2.8,SSD,DDR4,Paylasimsiz,Var,Windows,1920 x 1080,16,2.0,256,Var,Lenovo
